gene	SRX007811	SRX008015	SRX008027	SRX008025	SRX008010	SRX008005	SRX008018	SRX008007	SRX008006	SRX008020	SRX008011	SRX008019	SRX008026	SRX008008	SRX008009	SRX008029	SRX008014	SRX008156	SRX008023	SRX008016	SRX008013	SRX008022	SRX008024	SRX008012	SRX008028	SRX008021	SRX008171	SRX008155	SRX008017	SRX008157
FBgn0031228	2304	2190	7858	3633	3504	6703	6336	4190	4952	5969	4628	10085	7946	11844	4342	2981	1999	3657	3974	3638	7387	2552	2943	9588	4396	6239	6227	14764	8786	3431
FBgn0031229	571	542	1842	869	775	724	1031	224	274	156	93	276	249	413	142	147	184	415	453	357	244	450	459	174	120	144	312	277	120	513
FBgn0031231	4175	1475	1512	922	1419	5106	4835	3912	3380	2876	1469	2687	3986	6819	1998	976	721	1278	999	1019	3232	2780	2498	1866	2034	1660	2189	3402	1351	1181
FBgn0031232	12	17	47	37	42	126	520	1166	1586	935	274	779	315	582	217	113	52	30	48	38	775	78	172	1120	768	948	604	3448	655	26
FBgn0031233	5682	3621	3629	2119	2671	2590	3967	2406	2368	1711	1818	3911	1211	1693	600	964	1586	3630	2065	2285	2581	3298	3157	1652	2080	1679	2249	2056	1077	4283
FBgn0031235	1	2	11	16	10	4	7	7	1	4	0	3	6	1	6	84	273	619	1008	1396	2	5	3	1994	2074	2321	1977	2290	776	478
FBgn0031238	2805	1847	5847	2929	2136	2696	3232	1922	1551	1575	891	1682	2394	2542	794	442	611	1038	1079	1161	1828	1676	1477	776	1298	905	1426	1252	567	1026
FBgn0031239	5	89	366	261	214	458	1513	1765	1399	1262	583	1375	824	356	64	68	168	353	574	824	226	77	61	582	842	736	2006	700	410	505
FBgn0031240	3	36	182	97	67	29	86	61	63	53	25	58	41	30	27	521	1171	2525	4437	6280	36	22	12	12810	19169	14425	9675	12927	6974	2563
FBgn0031244	1574	1075	1526	574	777	1784	2322	1734	1188	874	526	1231	1594	2066	585	432	452	1119	1133	1170	1737	1302	1143	2044	3636	2458	1759	1539	1318	1179
FBgn0031245	618	1634	11029	9807	12324	15614	19650	5964	5043	4858	2308	5517	4980	7799	3015	3966	2717	4634	6894	6664	3958	2053	1893	4775	5565	4846	5848	5958	2505	8421
FBgn0031247	1649	999	1218	537	662	1097	1539	1041	900	667	306	666	983	2386	758	542	706	1271	1510	1813	1095	1008	1012	5354	8077	5974	3428	4911	2837	1120
FBgn0031248	1	0	11	10	42	11	23	29	162	1040	675	1954	1589	4661	1824	34535	50197	116825	258	167	3528	3424	1907	1158	1809	1406	75	1864	11352	89742
FBgn0031249	8	5	12	16	30	50	87	315	1269	8607	16652	38054	16551	22544	3056	38509	11087	4701	77	44	21047	14760	9577	7369	19344	14176	71	37	778	315
FBgn0031250	3189	1290	8557	4706	4455	7614	11220	5600	4727	3966	1336	3571	1976	2427	1081	2576	3781	7794	6698	4338	4050	2904	2502	3724	3537	2877	3988	6481	2211	9379
FBgn0031251	6	100	366	338	785	2356	5694	2145	2603	2728	1022	2776	1467	2085	1366	1721	2750	5548	5293	4661	3567	487	705	7939	6503	6250	3926	7672	3944	18144
